buffer_size,episode,episode_length,episode_reward,fps,frame,step,total_time
4233.0,17.0,249.0,2.883926701778019e-07,3.291296627108405,4233,4233.0,75.65407752990723
4482.0,18.0,249.0,43.82427272250406,28.678617398406196,4482,4482.0,84.33650517463684
4731.0,19.0,249.0,4.612120222445848e-15,22.940810792193204,4731,4731.0,95.1905255317688
4980.0,20.0,249.0,43.468714611884145,29.891326523559194,4980,4980.0,103.52070236206055
5229.0,21.0,249.0,1.7420801639758873e-60,22.198345909428227,5229,5229.0,114.73775577545166
5478.0,22.0,249.0,7.24128375370426e-07,30.293891459238296,5478,5478.0,122.95723557472229
5727.0,23.0,249.0,0.19921745882241024,22.936111729020244,5727,5727.0,133.81347966194153
5976.0,24.0,249.0,4.31132972835414e-05,31.53586128712534,5976,5976.0,141.7092535495758
6225.0,25.0,249.0,8.371600265465282e-23,23.74305166534487,6225,6225.0,152.196533203125
6474.0,26.0,249.0,5.355017526733508e-16,29.085021541784915,6474,6474.0,160.7576425075531
6723.0,27.0,249.0,23.97012550865188,23.866000524540194,6723,6723.0,171.19089770317078
6972.0,28.0,249.0,8.175182541888617,26.291199470904253,6972,6972.0,180.66174864768982
7221.0,29.0,249.0,0.0028027600067579523,24.129205983879956,7221,7221.0,190.98119401931763
7470.0,30.0,249.0,1.4030846219117402e-05,27.854379000353255,7470,7470.0,199.92054414749146
7719.0,31.0,249.0,0.00011774528072103419,24.526130509106014,7719,7719.0,210.07298302650452
7968.0,32.0,249.0,0.0018241852363038605,27.82692193172634,7968,7968.0,219.02115321159363
8217.0,33.0,249.0,2.4549721865783303e-05,23.589013280978236,8217,8217.0,229.57691550254822
8466.0,34.0,249.0,3.606316884950186,27.671930740532552,8466,8466.0,238.57520461082458
8715.0,35.0,249.0,1.0037166018518959e-05,22.786753507741164,8715,8715.0,249.50260758399963
8964.0,36.0,249.0,3.180113435626219,27.88714576042001,8964,8964.0,258.431453704834
9213.0,37.0,249.0,0.008992198262842385,23.118545852512426,9213,9213.0,269.20202803611755
9462.0,38.0,249.0,7.156419800226258e-23,28.413837879509177,9462,9462.0,277.96536564826965
9711.0,39.0,249.0,2.9605111415104916e-10,23.170285659975246,9711,9711.0,288.71188950538635
9960.0,40.0,249.0,0.026495554445188568,28.38046412654887,9960,9960.0,297.4855320453644
10209.0,41.0,249.0,2.999477580306842e-23,4.8309608477713315,10209,10209.0,349.0280749797821
10458.0,42.0,249.0,0.001450241027083041,24.96036888840548,10458,10458.0,359.0038902759552
10707.0,43.0,249.0,1.4743040173139759e-05,26.23355167797575,10707,10707.0,368.4955539703369
10956.0,44.0,249.0,0.00061842426125726,25.985470871503377,10956,10956.0,378.0778329372406
11205.0,45.0,249.0,0.0016178745658398227,25.593755915933478,11205,11205.0,387.8067698478699
11454.0,46.0,249.0,40.53213292989606,25.94714247861913,11454,11454.0,397.40320324897766
11703.0,47.0,249.0,6.339212146377125e-11,25.89564951414308,11703,11703.0,407.0187187194824
11952.0,48.0,249.0,3.172153371268716e-20,25.61513570054626,11952,11952.0,416.7395348548889
12201.0,49.0,249.0,65.0050750209121,25.859640651166277,12201,12201.0,426.3684401512146
12450.0,50.0,249.0,0.0039123088159246895,26.123395636706146,12450,12450.0,435.9001269340515
12699.0,51.0,249.0,2.299156842637102e-13,25.24679320340741,12699,12699.0,445.76276683807373
12948.0,52.0,249.0,1.8284174222305243e-50,28.09497192336642,12948,12948.0,454.62556433677673
13197.0,53.0,249.0,1.6066418638500247e-24,24.21911737672586,13197,13197.0,464.90670013427734
13446.0,54.0,249.0,36.538411409397085,27.603803206807253,13446,13446.0,473.9271972179413
13695.0,55.0,249.0,184.00767998969303,23.433624061359655,13695,13695.0,484.55295515060425
13944.0,56.0,249.0,0.3496201892438964,27.822310250196857,13944,13944.0,493.5026090145111
14193.0,57.0,249.0,79.73872757384987,24.33283767471477,14193,14193.0,503.7356946468353
14442.0,58.0,249.0,23.857065826472354,28.825472669859643,14442,14442.0,512.37388920784
14691.0,59.0,249.0,91.59966523965123,23.322997012085025,14691,14691.0,523.0500481128693
14940.0,60.0,249.0,79.09907179679762,29.435098486565803,14940,14940.0,531.5093381404877
15189.0,61.0,249.0,0.11962501451377398,22.91330429131543,15189,15189.0,542.3763880729675
15438.0,62.0,249.0,2.748739248219772e-11,29.016369670138605,15438,15438.0,550.9577524662018
15687.0,63.0,249.0,1.85928746170822e-43,22.700661771535135,15687,15687.0,561.926596403122
15936.0,64.0,249.0,4.665414575336893e-10,31.2568174142192,15936,15936.0,569.8928601741791
16185.0,65.0,249.0,3.7375992184476407e-06,21.947347088940408,16185,16185.0,581.2381961345673
16434.0,66.0,249.0,175.7815534569381,30.35431747452303,16434,16434.0,589.4413132667542
16683.0,67.0,249.0,1.6510840794850608e-07,22.15587709153321,16683,16683.0,600.6798684597015
16932.0,68.0,249.0,5.938959244966987e-24,31.77697261585692,16932,16932.0,608.5157327651978
17181.0,69.0,249.0,2.3495854717675127e-07,21.131105674335465,17181,17181.0,620.2993106842041
17430.0,70.0,249.0,8.065944836973929e-34,31.234169248799383,17430,17430.0,628.2713506221771
17679.0,71.0,249.0,8.87686909603923e-25,22.152434711691846,17679,17679.0,639.5116517543793
17928.0,72.0,249.0,178.44657319849165,31.195178486204433,17928,17928.0,647.493655204773
18177.0,73.0,249.0,1.262671155473082e-22,22.06715607140773,18177,18177.0,658.7773942947388
18426.0,74.0,249.0,102.97772346558446,31.31477889171805,18426,18426.0,666.7289123535156
