buffer_size,episode,episode_length,episode_reward,fps,frame,step,total_time
4233.0,17.0,249.0,6.6323384003898885e-15,3.7755357106938625,4233,4233.0,65.95090937614441
4482.0,18.0,249.0,32.21360435381352,25.52138111701888,4482,4482.0,75.70743560791016
4731.0,19.0,249.0,0.11679410536390872,22.516124805246875,4731,4731.0,86.76617908477783
4980.0,20.0,249.0,7.916486064343991e-15,26.62428161743663,4980,4980.0,96.11854529380798
5229.0,21.0,249.0,1.2417916555405333e-60,21.73930149092924,5229,5229.0,107.57245588302612
5478.0,22.0,249.0,0.14605815301911027,25.417364033945578,5478,5478.0,117.36891102790833
5727.0,23.0,249.0,4.974649944728943e-39,21.16425668081006,5727,5727.0,129.1340310573578
5976.0,24.0,249.0,3.7973242001521093e-07,27.413948080106724,5976,5976.0,138.2170000076294
6225.0,25.0,249.0,5.975900990207026e-35,20.53859649271163,6225,6225.0,150.34051704406738
6474.0,26.0,249.0,2.356662777373742e-12,28.973999651939707,6474,6474.0,158.93442964553833
6723.0,27.0,249.0,3.474295291141177e-63,20.161493147279103,6723,6723.0,171.28470730781555
6972.0,28.0,249.0,3.301488559671763e-11,28.794463425731067,6972,6972.0,179.932204246521
7221.0,29.0,249.0,8.331102715204435e-18,21.079311046448908,7221,7221.0,191.74473571777344
7470.0,30.0,249.0,4.405052937119746e-22,28.91708481437697,7470,7470.0,200.3555634021759
7719.0,31.0,249.0,5.325672145926242e-18,20.7310333525376,7719,7719.0,212.36654353141785
7968.0,32.0,249.0,6.311762040714032e-19,29.42392213556732,7968,7968.0,220.8290467262268
8217.0,33.0,249.0,5.876465950054613e-05,20.171941114591903,8217,8217.0,233.17292737960815
8466.0,34.0,249.0,0.10934596749209399,26.642459528848775,8466,8466.0,242.51891231536865
8715.0,35.0,249.0,1.0095829749831558e-16,22.258892075985397,8715,8715.0,253.70545506477356
8964.0,36.0,249.0,2.4198867860494567e-05,26.50945946635401,8964,8964.0,263.0983295440674
9213.0,37.0,249.0,2.6305489371287086e-46,21.93592501462018,9213,9213.0,274.4495732784271
9462.0,38.0,249.0,1.278597425467402e-31,26.863413737646283,9462,9462.0,283.7186863422394
9711.0,39.0,249.0,4.235186591321015e-14,22.06497323127886,9711,9711.0,295.00354194641113
9960.0,40.0,249.0,6.339466458035983e-41,24.388990004192017,9960,9960.0,305.21307730674744
10209.0,41.0,249.0,0.00020312289792085944,4.764735514198542,10209,10209.0,357.472012758255
10458.0,42.0,249.0,17.85291440735396,23.24238657737998,10458,10458.0,368.1851999759674
10707.0,43.0,249.0,5.726672405037484e-48,24.924713135842808,10707,10707.0,378.1752862930298
10956.0,44.0,249.0,0.008109717432567564,24.06900523136691,10956,10956.0,388.52054238319397
11205.0,45.0,249.0,8.93756562024337e-16,23.643795406408174,11205,11205.0,399.0518476963043
11454.0,46.0,249.0,0.155800245542036,24.31028078237925,11454,11454.0,409.294429063797
11703.0,47.0,249.0,1.4705792376005358e-18,24.00869624747432,11703,11703.0,419.6656732559204
11952.0,48.0,249.0,0.0007361191685281982,23.71935433078055,11952,11952.0,430.1634316444397
12201.0,49.0,249.0,4.166405685264304e-25,22.56724734050139,12201,12201.0,441.19712257385254
12450.0,50.0,249.0,7.328127176580032e-49,26.421142121191938,12450,12450.0,450.6213946342468
12699.0,51.0,249.0,5.152909875769845e-11,21.938741858743956,12699,12699.0,461.9711813926697
12948.0,52.0,249.0,7.041494380656312e-18,26.177770176856196,12948,12948.0,471.483069896698
13197.0,53.0,249.0,1.4696886139663654,21.59317314614842,13197,13197.0,483.0144934654236
13446.0,54.0,249.0,0.0005229622078849397,28.14426890827319,13446,13446.0,491.8617663383484
13695.0,55.0,249.0,2.0651262405588438,21.305145313368296,13695,13695.0,503.5490849018097
13944.0,56.0,249.0,30.93590458571381,28.776762693023162,13944,13944.0,512.2019007205963
14193.0,57.0,249.0,0.0029081340783227677,21.004249090867514,14193,14193.0,524.0566470623016
14442.0,58.0,249.0,1.8123916455238617e-07,28.88958739502307,14442,14442.0,532.6756711006165
14691.0,59.0,249.0,0.09459894574550885,21.322099849607554,14691,14691.0,544.3536968231201
14940.0,60.0,249.0,1.7538728580901076e-07,29.73354744292135,14940,14940.0,552.7280769348145
15189.0,61.0,249.0,0.013007306830200507,21.838169967757814,15189,15189.0,564.1301326751709
15438.0,62.0,249.0,4.894100428649939e-25,29.62247042742678,15438,15438.0,572.5359153747559
15687.0,63.0,249.0,1.4244851436888448e-09,21.065256584828404,15687,15687.0,584.3563277721405
15936.0,64.0,249.0,22.121169923312138,29.35384533400309,15936,15936.0,592.8390333652496
16185.0,65.0,249.0,0.13629118078004587,20.862632975147903,16185,16185.0,604.774249792099
16434.0,66.0,249.0,51.15116239132635,29.93681444238696,16434,16434.0,613.091769695282
16683.0,67.0,249.0,9.839902756862289e-08,21.219227639085087,16683,16683.0,624.8264107704163
16932.0,68.0,249.0,3.166543029672875,25.834203397752013,16932,16932.0,634.4647967815399
17181.0,69.0,249.0,8.251070649216404,22.83739327010635,17181,17181.0,645.3679687976837
17430.0,70.0,249.0,4.8816716187636064,24.30039896025789,17430,17430.0,655.614716053009
17679.0,71.0,249.0,0.3814596234124968,24.602009376771232,17679,17679.0,665.7358417510986
17928.0,72.0,249.0,0.3543556496762179,23.103390457636987,17928,17928.0,676.513482093811
18177.0,73.0,249.0,1.615018057176357e-29,26.113499900909982,18177,18177.0,686.0487811565399
18426.0,74.0,249.0,18.76156758130673,22.153321873956973,18426,18426.0,697.2886321544647
18675.0,75.0,249.0,2.7927804599357215e-10,27.564559737385693,18675,18675.0,706.3219711780548
18924.0,76.0,249.0,2.8933473461785435,20.22620192350988,18924,18924.0,718.6327369213104
19173.0,77.0,249.0,3.598454889796555e-33,28.76256548734593,19173,19173.0,727.2898237705231
19422.0,78.0,249.0,8.107872412458718e-32,21.25063038808759,19422,19422.0,739.0071246623993
19671.0,79.0,249.0,1.5151970825277815e-10,27.495854513945915,19671,19671.0,748.0630366802216
19920.0,80.0,249.0,1.1215964002730173e-25,21.751526236624265,19920,19920.0,759.5105109214783
20169.0,81.0,249.0,1.6807310617393222e-08,4.900147543757527,20169,20169.0,810.3253090381622
20418.0,82.0,249.0,1.1333384571860147e-05,24.36203760711705,20418,20418.0,820.5461304187775
20667.0,83.0,249.0,2.4972129198662695e-08,24.42441014214512,20667,20667.0,830.740850687027
20916.0,84.0,249.0,0.2120357912256867,24.166064590839998,20916,20916.0,841.0445573329926
21165.0,85.0,249.0,4.377341287009384e-12,26.80540880209677,21165,21165.0,850.3337285518646
21414.0,86.0,249.0,1.1707398799350133e-28,23.461881928413586,21414,21414.0,860.9466896057129
21663.0,87.0,249.0,20.054165253910554,27.04504049252668,21663,21663.0,870.1535544395447
21912.0,88.0,249.0,0.9405931797992537,22.21584557002447,21912,21912.0,881.3617718219757
22161.0,89.0,249.0,1.4960707923913367e-29,27.587217934309308,22161,22161.0,890.3876919746399
22410.0,90.0,249.0,1.7578398641628356e-17,21.152221559915375,22410,22410.0,902.1595072746277
22659.0,91.0,249.0,8.078586571720061,29.6519824602781,22659,22659.0,910.5569241046906
22908.0,92.0,249.0,2.6204078162270544e-22,21.51253564878518,22908,22908.0,922.1315720081329
23157.0,93.0,249.0,30.677341573554624,29.325988192067474,23157,23157.0,930.62233543396
23406.0,94.0,249.0,2.792818107101215e-12,20.940782043642404,23406,23406.0,942.513010263443
23655.0,95.0,249.0,93.65463887847463,27.332639048405504,23655,23655.0,951.6229984760284
23904.0,96.0,249.0,1.3304459176135052e-07,22.08664919441955,23904,23904.0,962.8967790603638
24153.0,97.0,249.0,9.821597480798946e-05,24.38179819706936,24153,24153.0,973.1093168258667
24402.0,98.0,249.0,2.3492252716797443e-08,24.922608765146855,24402,24402.0,983.1002461910248
24651.0,99.0,249.0,15.021206336597945,24.61522820300311,24651,24651.0,993.215936422348
24900.0,100.0,249.0,2.390128134443799e-29,25.65647534332412,24900,24900.0,1002.9210903644562
25149.0,101.0,249.0,121.16540216563237,22.84689948642796,25149,25149.0,1013.8197252750397
25398.0,102.0,249.0,0.011742125125084385,26.833769745160023,25398,25398.0,1023.0990793704987
25647.0,103.0,249.0,0.009449250237552189,20.674244703294942,25647,25647.0,1035.143051147461
25896.0,104.0,249.0,7.176573907954894e-19,29.300288925999624,25896,25896.0,1043.641262292862
26145.0,105.0,249.0,0.0016361518906775102,21.264044074270394,26145,26145.0,1055.3511710166931
26394.0,106.0,249.0,1.5194095829799638e-26,29.820938629065964,26394,26394.0,1063.701010465622
26643.0,107.0,249.0,0.0004372245876122871,21.135651918287294,26643,26643.0,1075.4820535182953
